id,category,value,question,answer,mediaUrl
1,AI,100,Mikä on tunnettu koneoppimisen kirjasto Pythonille?,TensorFlow,
2,AI,200,Mitä tarkoittaa lyhenne NLP tekoälyn yhteydessä?,Natural Language Processing,
3,AI,300,Kuka on tunnettu tekoälytutkija ja Deep Learning -kirjan kirjoittaja, etunimi Yoshua?,Yoshua Bengio,
4,AI,400,Mikä on tekoälyn osa-alue, jossa tietokoneet oppivat pelaamaan pelejä kokeilemalla ja palkkioiden avulla?,Vahvistusoppiminen,
5,AI,500,Minkä niminen OpenAI:n kehittämä kielimalli julkaistiin vuonna 2023?,GPT-4,
6,Web,100,Mikä HTML-elementti käytetään linkin luomiseen?,a,
7,Web,200,Mikä CSS-ominaisuus määrittää tekstin värin?,color,
8,Web,300,Mikä JavaScript-metodi näyttää viestin selaimen alert-ikkunassa?,alert,
9,Web,400,Mikä on Reactin pääasiallinen funktio?,Käyttöliittymän rakentaminen,
10,Web,500,Mikä HTTP-statuskoodi tarkoittaa "Ei löytynyt"?,404,
11,DevOps,100,Mikä on Git-versionhallinnan komento, jolla luodaan uusi haara?,git branch <haaran_nimi>,
12,DevOps,200,Mitä tarkoittaa termi "CI/CD" ohjelmistokehityksessä?,Jatkuva integraatio ja jatkuva toimitus,
13,DevOps,300,Minkä yrityksen kehittämä on pilvipalvelu Azure?,Microsoft,
14,DevOps,400,Mikä komento palauttaa Git-haaran edelliseen tilaan?,git reset --hard,
15,DevOps,500,Mitä tarkoittaa termi "DevOps" IT-projektien hallinnassa?,Ohjelmistokehityksen ja IT-toimintojen yhteistyö ja automaatio,
